,Player,Player City,Country,State,Team City,PER,Player US Full City
230,DeAndre Jordan,Houston,US,TX,Philadelphia,17.2,"Houston, TX"
231,Jaden Springer,Charlotte,US,NC,Philadelphia,26.4,"Charlotte, NC"
232,Tobias Harris,Islip,US,NY,Philadelphia,15.9,"Islip, NY"
233,Danny Green,North Babylon,US,NY,Philadelphia,9.5,"North Babylon, NY"
234,Charlie Brown Jr.,Philadelphia,US,PA,Philadelphia,6.5,"Philadelphia, PA"
235,Shake Milton,Owasso,US,OK,Philadelphia,11.9,"Owasso, OK"
236,Georges Niang,Lawrence,US,MA,Philadelphia,10.7,"Lawrence, MA"
237,Matisse Thybulle,Scottsdale,US,AZ,Philadelphia,11.2,"Scottsdale, AZ"
238,Paul Reed,Orlando,US,FL,Philadelphia,21.4,"Orlando, FL"
239,JaVale McGee,Flint,US,MI,Phoenix,22.6,"Flint, MI"
240,Torrey Craig,Columbia,US,SC,Phoenix,11.0,"Columbia, SC"
241,Devin Booker,Grand Rapids,US,MI,Phoenix,21.3,"Grand Rapids, MI"
242,Elfrid Payton,Gretna,US,LA,Phoenix,7.9,"Gretna, LA"
243,Chris Paul,Winston-Salem,US,NC,Phoenix,20.8,"Winston-Salem, NC"
244,Aaron Holiday,Ruston,US,LA,Phoenix,12.6,"Ruston, LA"
245,Ish Wainright,Kansas City,US,MO,Phoenix,9.4,"Kansas City, MO"
246,Landry Shamet,Kansas City,US,MO,Phoenix,10.2,"Kansas City, MO"
247,Cameron Payne,Memphis,US,TN,Phoenix,13.8,"Memphis, TN"
248,Cameron Johnson,Moon Township,US,PA,Phoenix,15.2,"Moon Township, PA"
249,Mikal Bridges,Philadelphia,US,PA,Phoenix,14.4,"Philadelphia, PA"
250,Jae Crowder,Villa Rica,US,GA,Phoenix,11.3,"Villa Rica, GA"
251,Damian Lillard,Oakland,US,CA,Portland,18.5,"Oakland, CA"
252,Anfernee Simons,Longwood,US,FL,Portland,15.3,"Longwood, FL"
253,Trendon Watford,Birmingham,US,AL,Portland,15.8,"Birmingham, AL"
254,Greg Brown III,Dallas,US,TX,Portland,11.0,"Dallas, TX"
255,Eric Bledsoe,Birmingham,US,AL,Portland,12.5,"Birmingham, AL"
256,Keon Johnson,Shelbyville,US,TN,Portland,8.7,"Shelbyville, TN"
257,Brandon Williams,Los Angeles,US,CA,Portland,11.0,"Los Angeles, CA"
258,Brandon Williams,Collinston,US,LA,Portland,11.0,"Collinston, LA"
259,Brandon Williams,Los Angeles,US,CA,Portland,11.0,"Los Angeles, CA"
260,Brandon Williams,Collinston,US,LA,Portland,11.0,"Collinston, LA"
261,Nassir Little,Pensacola,US,FL,Portland,13.5,"Pensacola, FL"
262,Josh Hart,Silver Spring,US,MD,Portland,16.1,"Silver Spring, MD"
263,CJ Elleby,Federal Way,US,WA,Portland,9.2,"Federal Way, WA"
264,Elijah Hughes,Poughkeepsie,US,NY,Portland,5.4,"Poughkeepsie, NY"
